rarity,id,name,image_url,appeal,skill,preawakened
SR+,24,"""Resident of the Bird Cage"" Yurika Tōdō+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0024.jpg,Clock Circus,All Score UP! (iii),
R,25,Yurika Tōdō,https://images.dream-wonderland.com/photokatsu/Photokatsu_0025.jpg,Cool Flash,Cool Score UP! (ii),
R+,26,Yurika Tōdō+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0026.jpg,Cool Flash,Cool Score UP! (ii),
R,27,Kaede Ichinose,https://images.dream-wonderland.com/photokatsu/Photokatsu_0027.jpg,Pop Flash,Pop Aura UP! (ii),
R+,28,Kaede Ichinose+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0028.png,Pop Flash,Pop Aura UP! (ii),
R,29,Shion Kamiya,https://images.dream-wonderland.com/photokatsu/Photokatsu_0029.png,Cool Flash,Cool Change (ii),
R+,30,Shion Kamiya+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0030.png,Cool Flash,Cool Change (ii),
R,31,Hikari Minowa,https://images.dream-wonderland.com/photokatsu/Photokatsu_0031.jpg,Sexy Flash,Sexy plus Appeal! (ii),
R+,32,Hikari Minowa+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0032.jpg,Sexy Flash,Sexy plus Appeal! (ii),
SR,33,"""Guide of the Fairytales"" Sakura Kitaōji",https://images.dream-wonderland.com/photokatsu/Photokatsu_0033.jpg,Around Bouquet,Cute Score UP! (iii),
SR+,34,"""Girl of the Spring Garden"" Sakura Kitaōji+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0034.png,Around Bouquet,Cute Score UP! (iii),
R,35,Sakura Kitaōji,https://images.dream-wonderland.com/photokatsu/Photokatsu_0035.jpg,Cute Flash,Cute Aura UP! (ii),
R+,36,Sakura Kitaōji+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0036.png,Cute Flash,Cute Aura UP! (ii),
SR,37,"""Little Cat"" Seira Otoshiro",https://images.dream-wonderland.com/photokatsu/Photokatsu_0037.jpg,Passion Beat,Cool Aura UP! (iii),
SR+,38,"""Let's Rock!"" Seira Otoshiro+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0038.jpg,Passion Beat,Cool Aura UP! (iii),
R,39,Seira Otoshiro,https://images.dream-wonderland.com/photokatsu/Photokatsu_0039.jpg,Cool Flash,Cool Change (ii),
R+,40,Seira Otoshiro+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0040.jpg,Cool Flash,Cool Change (ii),
SR,41,"""Colorful Tile"" Kī Saegusa",https://images.dream-wonderland.com/photokatsu/Photokatsu_0041.jpg,Trick Toy Box,Pop Change (iii),
SR+,42,"""Milk Clown"" Kī Saegusa",https://images.dream-wonderland.com/photokatsu/Photokatsu_0042.png,Trick Toy Box,Pop Change (iii),
R,43,Kī Saegusa,https://images.dream-wonderland.com/photokatsu/Photokatsu_0043.jpg,Pop Flash,Pop plus Appeal (ii),
R+,44,Kī Saegusa+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0044.png,Pop Flash,Pop plus Appeal (ii),
R,45,Sora Kazesawa,https://images.dream-wonderland.com/photokatsu/Photokatsu_0045.jpg,Sexy Flash,Sexy Score UP! (ii),
R+,46,Sora Kazesawa+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0046.jpg,Sexy Flash,Sexy Score UP! (ii),
R,47,Maria Himesato,https://images.dream-wonderland.com/photokatsu/Photokatsu_0047.jpg,Cute Flash,Aura plus Appeal (ii),
R+,48,Maria Himesato+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0048.jpg,Cute Flash,Aura plus Appeal (ii),
SR,49,"""Tonight's Spotlight"" Mizuki Kanzaki",https://images.dream-wonderland.com/photokatsu/Photokatsu_0049.jpg,Double Moon Jewel,Sexy plus Appeal! (iii),
SR+,50,"""Night of the Moon"" Mizuki Kanzaki+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0050.jpg,Double Moon Jewel,Sexy plus Appeal! (iii),
R,51,Mizuki Kanzaki,https://images.dream-wonderland.com/photokatsu/Photokatsu_0051.jpg,Sexy Flash,Sexy Change (ii),
R+,52,Mizuki Kanzaki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0052.jpg,Sexy Flash,Sexy Change (ii),
SR,53,"""Going Out on a Day Off"" Mikuru Natsuki",https://images.dream-wonderland.com/photokatsu/Photokatsu_0053.jpg,Cheerful Kiss,Aura plus Appeal!(iii),
SR+,54,"""Vivid Time"" Mikuru Natsuki+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0054.jpg,Cheerful Kiss,Aura plus Appeal!(iii),
R,55,Mikuru Natsuki,https://images.dream-wonderland.com/photokatsu/Photokatsu_0055.jpg,Pop Flash,Pop plus Appeal! (ii),
R+,56,Mikuru Natsuki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0056.jpg,Cheerful Kiss,Pop plus Appeal! (ii),
PR,57,"""A White Bird Floating On Top of the Water"" Akari Ōzora",https://images.dream-wonderland.com/photokatsu/Photokatsu_0057.jpg,Premium Dreaming Heart,Cute Aura UP! (iv),
PR+,58,"""The Grand White Bird Dancing on the Lake"" Akari Ōzora+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0058.png,Premium Dreaming Heart,Cute Aura UP! (iv),
SR,59,"""Let's sing a SHOW!"" Akari Ōzora",https://images.dream-wonderland.com/photokatsu/Photokatsu_0059.jpg,Dreaming Heart,Cute Change (iii),
SR+,60,"""Happy Show Time!"" Akari Ōzora+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0060.png,Dreaming Heart,Cute Change (iii),
R,61,Akari Ōzora,https://images.dream-wonderland.com/photokatsu/Photokatsu_0061.png,Cute Flash,Cute Change (ii),
R+,62,Akari Ōzora+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0062.jpg,Cute Flash,Cute Change (ii),
PR,63,"""Falling in love with an Apple"" Sumire Hikami",https://images.dream-wonderland.com/photokatsu/Photokatsu_0063.png,Premium Clock Circus,Cool Score UP! (iv),
PR+,64,"""The Tree of Rubies"" Sumire Hikami+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0064.jpg,Premium Clock Circus,Cool Score UP! (iv),
SR,65,"""Blue Noblesse"" Sumire Hikami",https://images.dream-wonderland.com/photokatsu/Photokatsu_0065.jpg,Clock Circus,Cool plus Appeal! (iii),
SR+,66,"""The New Green Blossom"" Sumire Hikami+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0066.jpg,Clock Circus,Cool plus Appeal! (iii),
R,67,Sumire Hikami,https://images.dream-wonderland.com/photokatsu/Photokatsu_0067.jpg,Cool Flash,Cool Score UP! (ii),
R+,68,Sumire Hikami+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0068.jpg,Cool Flash,Cool Score UP! (ii),
PR,69,"""To the World of Dreams"" Hinaki Shinjō",https://images.dream-wonderland.com/photokatsu/Photokatsu_0069.jpg,Premium Cheerful Kiss,Pop plus Appeal! (iv),
PR+,70,"""Miracle World"" Hinaki Shinjō+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0070.jpg,Premium Cheerful Kiss,Pop plus Appeal! (iv),
R,71,Hinaki Shinjō,https://images.dream-wonderland.com/photokatsu/Photokatsu_0071.jpg,Pop Flash,Pop Score UP! (ii),
R+,72,Hinaki Shinjō+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0072.jpg,Pop Flash,Pop Score UP! (ii),
R,73,Juri Kurebayashi,https://images.dream-wonderland.com/photokatsu/Photokatsu_0073.jpg,Sexy Flash,Sexy Score UP! (ii),
R+,74,Juri Kurebayashi+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0074.jpg,Sexy Flash,Sexy Score UP! (ii),
R,75,Madoka Amahane,https://images.dream-wonderland.com/photokatsu/Photokatsu_0075.jpg,Cute Flash,Cute Score UP! (ii),
R+,76,Madoka Amahane+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0076.jpg,Cute Flash,Cute Score UP! (ii),
R,77,Rin Kurosawa,https://images.dream-wonderland.com/photokatsu/Photokatsu_0077.jpg,Cool Flash,Cool plus Appeal! (ii),
R+,78,Rin Kurosawa+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0078.jpg,Cool Flash,Cool plus Appeal! (ii),
R,79,Miyabi Fujiwara,https://images.dream-wonderland.com/photokatsu/Photokatsu_0079.jpg,Sexy Flash,Sexy Score UP! (ii),
R+,80,Miyabi Fujiwara+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0080.jpg,Sexy Flash,Sexy Score UP! (ii),
R,81,Kokone Kurisu,https://images.dream-wonderland.com/photokatsu/Photokatsu_0081.jpg,Pop Flash,Pop Change (ii),
R+,82,Kokone Kurisu+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0082.jpg,Pop Flash,Pop Change (ii),
N,83,Harumi Sano,https://images.dream-wonderland.com/photokatsu/Photokatsu_0083.jpg,Girly Step,Cute Aura UP! (i),
N+,84,Harumi Sano+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0084.jpg,Girly Step,Cute Aura UP! (i),
N,85,Nana Yuzuki,https://images.dream-wonderland.com/photokatsu/Photokatsu_0085.jpg,Girly Step,Heart Full Time (i),
N+,86,Nana Yuzuki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0086.png,Girly Step,Heart Full Time (i),
N,87,Yuna Nakayama,https://images.dream-wonderland.com/photokatsu/Photokatsu_0087.png,Girly Step,Heart Full Time (i),
N+,88,Yuna Nakayama+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0088.png,Girly Step,Heart Full Time (i),
N,89,Aya Hirasaka,https://images.dream-wonderland.com/photokatsu/Photokatsu_0089.jpg,Girly Step,Cute Score UP! (i),
N+,90,Aya Hirasaka+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0090.jpg,Girly Step,Cute Score UP! (i),
N,91,Maria Ayasaki,https://images.dream-wonderland.com/photokatsu/Photokatsu_0091.jpg,Girly Step,Cute Change (i),
N+,92,Maria Ayasaki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0092.jpg,Girly Step,Cute Change (i),
N,93,Konatsu Ayase,https://images.dream-wonderland.com/photokatsu/Photokatsu_0093.jpg,Girly Step,Cute plus Appeal! (i),
N+,94,Konatsu Ayase+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0094.jpg,Girly Step,Cute plus Appeal! (i),
N,95,Mimi Watanuki,https://images.dream-wonderland.com/photokatsu/Photokatsu_0095.jpg,Girly Step,Cute Aura UP! (i),
N+,96,Mimi Watanuki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0096.jpg,Girly Step,Cute Aura UP! (i),
N,97,Anna Kodama,https://images.dream-wonderland.com/photokatsu/Photokatsu_0097.jpg,Girly Step,Cute Change (i),
N+,98,Anna Kodama+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0098.jpg,Girly Step,Cute Change (i),
N,99,Himari Otoha,https://images.dream-wonderland.com/photokatsu/Photokatsu_0099.jpg,Girly Step,Cute plus Appeal! (i),
N+,100,Himari Otoha+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0100.jpg,Girly Step,Cute plus Appeal! (i),
N,101,Oto Kinkawa,https://images.dream-wonderland.com/photokatsu/Photokatsu_0101.jpg,Girly Step,Cute plus Appeal! (i),
N+,102,Oto Kinkawa+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0102.jpg,Girly Step,Cute plus Appeal! (i),
N,103,Kokoro Yoshikawa,https://images.dream-wonderland.com/photokatsu/Photokatsu_0103.jpg,Sharp Spin,Cool Aura UP! (i),
N+,104,Kokoro Yoshikawa+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0104.png,Sharp Spin,Cool Aura UP! (i),
N,105,Nanami Shibata,https://images.dream-wonderland.com/photokatsu/Photokatsu_0105.jpg,Sharp Spin,Cool plus Appeal! (i),
N+,106,Nanami Shibata+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0106.png,Sharp Spin,Cool plus Appeal! (i),
N,107,Nagisa Matsue,https://images.dream-wonderland.com/photokatsu/Photokatsu_107.jpg,Sharp Spin,Cool Score UP! (i),
N+,108,Nagisa Matsue+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0108.png,Sharp Spin,Cool Score UP! (i),
N,109,Wakaba Kuze,https://images.dream-wonderland.com/photokatsu/Photokatsu_0109.jpg,Sharp Spin,Cool Aura UP! (i),
N+,110,Wakaba Kuze+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0110.png,Sharp Spin,Cool Aura UP! (i),
N,111,Rio Kimura,https://images.dream-wonderland.com/photokatsu/Photokatsu_0111.jpg,Sharp Spin,Cool Change (i),
N+,112,Rio Kimura+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0112.png,Sharp Spin,Cool Change (i),
N,113,Akira Natsume,https://images.dream-wonderland.com/photokatsu/Photokatsu_0113.jpg,Sharp Spin,Cool Aura UP! (i),
N+,114,Akira Natsume+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0114.png,Sharp Spin,Cool Aura UP! (i),
N,115,Michiru Kurosawa,https://images.dream-wonderland.com/photokatsu/Photokatsu_0115.png,Sharp Spin,Cool plus Appeal! (i),
N+,116,Michiru Kurosawa+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0116.jpg,Sharp Spin,Cool plus Appeal! (i),
N,117,Ayako Yuki,https://images.dream-wonderland.com/photokatsu/Photokatsu_0117.jpg,Sharp Spin,Cool Change (i),
N+,118,Ayako Yuki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0118.png,Sharp Spin,Cool Change (i),
N,119,Yū Hattori,https://images.dream-wonderland.com/photokatsu/Photokatsu_0119.png,Sharp Spin,Cool Aura UP! (i),
N+,120,Yū Hattori+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0120.png,Sharp Spin,Cool Aura UP! (i),
N,121,Reika Yuki,https://images.dream-wonderland.com/photokatsu/Photokatsu_121.jpg,Sharp Spin,Heartful Time (i),
N+,122,Reika Yuki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0122.png,Sharp Spin,Heartful Time (i),
N,123,Misaki Hirayama,https://images.dream-wonderland.com/photokatsu/Photokatsu_0123.jpg,Just Move,Sexy Change (i),
N+,124,Misaki Hirayama+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0124.jpg,Just Move,Sexy Change (i),
N,125,Fumina Miyamoto,https://images.dream-wonderland.com/photokatsu/Photokatsu_125.jpg,Just Move,Sexy plus Appeal! (i),
N+,126,Fumina Miyamoto+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0126.jpg,Just Move,Sexy plus Appeal! (i),
N,127,Erika Fujimoto,https://images.dream-wonderland.com/photokatsu/Photokatsu_0127.jpg,Just Move,Sexy Change (i),
N+,128,Erika Fujimoto+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0128.jpg,Just Move,Sexy Change (i),
N,129,Tomoe Takaoka,https://images.dream-wonderland.com/photokatsu/Photokatsu_0129.jpg,Just Move,Sexy Aura UP! (i),
N+,130,Tomoe Takaoka+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0130.jpg,Just Move,Sexy Aura UP! (i),
N,131,Sumire Katagiri,https://images.dream-wonderland.com/photokatsu/Photokatsu_0131.png,Just Move,Sexy plus Appeal! (i),
N+,132,Sumire Katagiri+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0132.jpg,Just Move,Sexy plus Appeal! (i),
N,133,Karin Kikuchi,https://images.dream-wonderland.com/photokatsu/Photokatsu_0133.png,Just Move,Sexy Aura UP! (i),
N+,134,Karin Kikuchi+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0134.jpg,Just Move,Sexy Aura UP! (i),
N,135,Anju Nagasaki,https://images.dream-wonderland.com/photokatsu/Photokatsu_0135.jpg,Just Move,Sexy Aura UP! (i),
N+,136,Anju Nagasaki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0136.jpg,Just Move,Sexy Aura UP! (i),
N,137,Urara Nikaidō,https://images.dream-wonderland.com/photokatsu/Photokatsu_0137.png,Just Move,Heart Full Time (i),
N+,138,Urara Nikaidō+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0138.png,Just Move,Heart Full Time (i),
N,139,Miori Muto,https://images.dream-wonderland.com/photokatsu/Photokatsu_0139.png,Just Move,Sexy plus Appeal (i),
N+,140,Miori Muto+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0140.jpg,Just Move,Sexy plus Appeal (i),
N,141,Nana Saeki,https://images.dream-wonderland.com/photokatsu/Photokatsu_0141.jpg,Just Move,Sexy Score UP! (i),
N+,142,Nana Saeki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0142.jpg,Just Move,Sexy Score UP! (i),
N,143,Chiyo Nonomiya,https://images.dream-wonderland.com/photokatsu/Photokatsu_0143.jpg,Pure Wink,Pop plus Appeal! (i),
N+,144,Chiyo Nonomiya+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0144.jpg,Pure Wink,Pop plus Appeal! (i),
N,145,Kurumi Mori,https://images.dream-wonderland.com/photokatsu/Photokatsu_0145.png,Pure Wink,Pop plus Appeal! (i),
N+,146,Kurumi Mori+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0146.jpg,Pure Wink,Pop plus Appeal! (i),
N,147,Anna Miyagawa,https://images.dream-wonderland.com/photokatsu/Photokatsu_0147.jpg,Pure Wink,Pop Aura UP! (i),
N+,148,Anna Miyagawa+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0148.jpg,Pure Wink,Pop Aura UP! (i),
N,149,Chiho Osanai,https://images.dream-wonderland.com/photokatsu/Photokatsu_0149.jpg,Pure Wink,Pop Change (i),
N+,150,Chiho Osanai+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0150.jpg,Pure Wink,Pop Change (i),
N,151,Miu Hanazuki,https://images.dream-wonderland.com/photokatsu/Photokatsu_0151.png,Pure Wink,Pop plus Appeal! (i),
N+,152,Miu Hanazuki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0152.jpg,Pure Wink,Pop plus Appeal! (i),
N,153,Yukari Mochizuki,https://images.dream-wonderland.com/photokatsu/Photokatsu_0153.jpg,Pure Wink,Heartful Time (i),
N+,154,Yukari Mochizuki+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0154.jpg,Pure Wink,Heartful Time (i),
N,155,Saki Totsuka,https://images.dream-wonderland.com/photokatsu/Photokatsu_0155.jpg,Pure Wink,Pop Score UP! (i),
N+,156,Saki Totsuka+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0156.jpg,Pure Wink,Pop Score UP! (i),
N,157,Arisa Mizukoshi,https://images.dream-wonderland.com/photokatsu/Photokatsu_0157.jpg,Pure Wink,Pop Score UP! (i),
N+,158,Arisa Mizukoshi+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0158.png,Pure Wink,Pop Score UP! (i),
N,159,Rin Oikawa,https://images.dream-wonderland.com/photokatsu/Photokatsu_0159.jpg,Pure Wink,Pop Aura UP! (i),
N+,160,Rin Oikawa+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0160.jpg,Pure Wink,Pop Aura UP! (i),
N,161,Kasumi Uchida,https://images.dream-wonderland.com/photokatsu/Photokatsu_0161.jpg,Pure Wink,Pop Aura UP! (i),
N+,162,Kasumi Uchida+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0162.jpg,Pure Wink,Pop Aura UP! (i),
SR,163,"""The Tone of Black and Red"" Yurika Tōdō",https://images.dream-wonderland.com/photokatsu/Photokatsu_0163.png,Clock Circus,Cool plus Appeal! (iii),
SR+,164,"""The Grand Blue Rose"" Yurika Tōdō+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0164.jpg,Clock Circus,Cool plus Appeal! (iii),
SR,165,"""Sumire Colored Tale"" Sumire Hikami",https://images.dream-wonderland.com/photokatsu/Photokatsu_0165.png,Clock Circus,All Aura UP! (iii),
SR+,166,"""Sailor Style"" Sumire Hikami+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0166.jpg,Clock Circus,All Aura UP! (iii),
SR,167,"""Aikatsu! MF CP"" Ichigo Hoshimiya",https://images.dream-wonderland.com/photokatsu/Photokatsu_0167.jpg,Angel Arrow,Very Good Judge Shift,
SR+,168,"""Aikatsu! MF CP"" Ichigo Hoshimiya+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0168.jpg,Angel Arrow,Very Good Judge Shift,
SR,169,"""Two As One"" Ichigo Hoshimiya",https://images.dream-wonderland.com/photokatsu/Photokatsu_0169.jpg,Angel Arrow,Heartful Time (iii),
SR+,170,"""The Special Two"" Ichigo Hoshimiya+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0170.jpg,Angel Arrow,Heartful Time (iii),
R,171,"""I'll leave the rest to you!"" Aoi Kiriya",https://images.dream-wonderland.com/photokatsu/Photokatsu_0171.jpg,Cool Flash,Cool plus Appeal! (ii),
R+,172,"""Rock Style"" Aoi Kiriya+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0172.jpg,Cool Flash,Cool plus Appeal! (ii),
R,173,"""I'll leave the rest to you!"" Ran Shibuki",https://images.dream-wonderland.com/photokatsu/Photokatsu_173.jpg,Sexy Flash,Sexy Change (ii),
R+,174,"""Rock Style"" Ran Shibuki+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0174.jpg,Sexy Flash,Sexy Change (ii),
PR,175,"""Let's Roll!"" Seira Otoshiro",https://images.dream-wonderland.com/photokatsu/Photokatsu_0175.jpg,Premium Passion Beat,Aura plus Appeal! (iv),
PR+,176,"""Aiming for the Top!"" Seira Otoshiro+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0176.png,Premium Passion Beat,Aura plus Appeal! (iv),
SR,177,"""Two As One"" Seira Otoshiro",https://images.dream-wonderland.com/photokatsu/Photokatsu_0177.jpg,Passion Beat,Cool Change (iii),
SR+,178,"""The Special Two"" Seira Otoshiro+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0178.jpg,Passion Beat,Cool Change (iii),
SR,179,"""Magical Style"" Kī Saegusa",https://images.dream-wonderland.com/photokatsu/Photokatsu_0179.jpg,Trick Toy Box,Pop Aura UP! (iii),
SR+,180,"""Marching Style"" Kī Saegusa+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0180.jpg,Trick Toy Box,Pop Aura UP! (iii),
SR,181,"""Stone Charm"" Sora Kazesawa",https://images.dream-wonderland.com/photokatsu/Photokatsu_0181.jpg,Sky Oasis,Aura plus Appeal! (iii),
SR+,182,"""The Bohemian Who Weaves the Wind"" Sora Kazesawa+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0182.jpg,Sky Oasis,Aura plus Appeal! (iii),
SR,183,"""The Maiden of Ribbons"" Maria Himesato",https://images.dream-wonderland.com/photokatsu/Photokatsu_0183.jpg,Around Bouquet,Cute Aura UP! (iii),
SR+,184,"""A Flower That Blooms in the Highlands"" Maria Himesato+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0184.jpg,Around Bouquet,Cute Aura UP! (iii),
PR,185,"""Candy Maiden"" Otome Arisugawa",https://images.dream-wonderland.com/photokatsu/Photokatsu_0185.png,Premium Candy Rainbow,All Aura UP! (iv),
PR+,186,"""A Slide of the Rainbow"" Otome Arisugawa+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0186.jpg,Premium Candy Rainbow,All Aura UP! (iv),
R,187,Nono Daichi,https://images.dream-wonderland.com/photokatsu/Photokatsu_0187.jpg,Sexy Flash,Sexy plus Appeal! (ii),
R+,188,Nono Daichi+,https://images.dream-wonderland.com/photokatsu/Photokatsu_0188.jpg,Sexy Flash,Sexy plus Appeal! (ii),
SR,189,"""Little Devil"" Lisa Shirakaba",https://images.dream-wonderland.com/photokatsu/Photokatsu_0189.jpg,Wicked Rouge,Aura plus Appeal! (iii),
SR+,190,"""Pretty Devil"" Lisa Shirakaba+",https://images.dream-wonderland.com/photokatsu/Photokatsu_0190.jpg,Wicked Rouge,Aura plus Appeal! (iii),
